alt_name,short_name,inventory,reference_original,reference,seedSource,seedType
1620,1000247,R46,Variety-29,Variety-29,SourceB,Breeder seed
157,1000067,R47,Variety-30,Variety-30_a,SourceA,Breeder seed
158,1000068,R47,Variety-30,Variety-30_a,SourceA,Breeder seed
183,1000091,R48,Variety-30,Variety-30_b,SourceB,Breeder seed
184,1000092,R48,Variety-30,Variety-30_b,SourceB,Breeder seed
56,1000003,R49,Variety-31,Variety-31_c,SourceC,Breeder seed
55,1000055,R49,Variety-31,Variety-31_c,SourceC,Breeder seed
57,1000062,R49,Variety-31,Variety-31_c,SourceC,Breeder seed
189,1000099,R49,Variety-31,Variety-31_c,SourceC,Breeder seed
42,1000002,R50,Variety-31,Variety-31_a,SourceA,Breeder seed
43,1000040,R50,Variety-31,Variety-31_a,SourceA,Breeder seed
205,1000113,R51,Variety-31,Variety-31_b,SourceB,Breeder seed
206,1000114,R51,Variety-31,Variety-31_b,SourceB,Breeder seed
91,1000095,R52,Variety-32,Variety-32,SourceB,Breeder seed
92,1000096,R52,Variety-32,Variety-32,SourceB,Breeder seed
209,1000126,R53,Variety-32,Variety-32,SourceD,Certified seed
210,1000128,R53,Variety-32,Variety-32,SourceD,Certified seed
31,1000001,R54,Variety-33,Variety-33,SourceC,Breeder seed
30,1000030,R54,Variety-33,Variety-33,SourceC,Breeder seed
32,1000031,R54,Variety-33,Variety-33,SourceC,Breeder seed
7,1000008,R55,Variety-33,Variety-33,SourceA,Breeder seed
8,1000009,R55,Variety-33,Variety-33,SourceA,Breeder seed
85,1000087,R56,Variety-33,Variety-33,SourceB,Breeder seed
86,1000088,R56,Variety-33,Variety-33,SourceB,Breeder seed
22,1000022,R57,Variety-34,Variety-34,SourceC,Breeder seed
23,1000023,R57,Variety-34,Variety-34,SourceC,Breeder seed
229,1000174,R58,Variety-34,Variety-34,SourceB,Breeder seed
230,1000176,R58,Variety-34,Variety-34,SourceB,Breeder seed
231,1000178,R58,Variety-34,Variety-34,SourceB,Breeder seed
232,1000180,R58,Variety-34,Variety-34,SourceB,Breeder seed
53,1000053,R59,Variety-35,Variety-35,SourceC,Breeder seed
54,1000054,R59,Variety-35,Variety-35,SourceC,Breeder seed
1655,1000239,R59,Variety-35,Variety-35,SourceC,Breeder seed
1656,1000241,R59,Variety-35,Variety-35,SourceC,Breeder seed
2,1000005,R60,Variety-36,Variety-36,SourceC,Breeder seed
51,1000051,R61,Variety-37,Variety-37,SourceC,Breeder seed
52,1000052,R61,Variety-37,Variety-37,SourceC,Breeder seed
1663,1000259,R62,Variety-38,Variety-38,SourceE,Certified seed
1664,1000261,R62,Variety-38,Variety-38,SourceE,Certified seed
18,1000018,R63,Variety-38,Variety-38,SourceC,Breeder seed
19,1000019,R63,Variety-38,Variety-38,SourceC,Breeder seed
1661,1000257,R64,Variety-39,Variety-39,SourceE,Certified seed
1662,1000258,R64,Variety-39,Variety-39,SourceE,Certified seed
5,1000006,R65,Variety-39,Variety-39,SourceC,Breeder seed
6,1000007,R65,Variety-39,Variety-39,SourceC,Breeder seed
83,1000085,R66,Variety-40,Variety-40,SourceD,Certified seed
84,1000086,R66,Variety-40,Variety-40,SourceD,Certified seed
165,1000077,R67,Variety-41,Variety-41,SourceA,Breeder seed
166,1000078,R67,Variety-41,Variety-41,SourceA,Breeder seed
1646,1000310,R68,Variety-41,Variety-41,SourceD,Certified seed
1011,1000701,R69,Variety-42,Variety-42,SourceA,Breeder seed
1048,1000804,R69,Variety-42,Variety-42,SourceA,Breeder seed
1352,1000302,R70,Variety-43,Variety-43,SourceA,Breeder seed
